model,budget_fraction,gross_value_per_customer,ci_low,ci_high,reference_value,policy_value_delta_vs_response,fold_seed,stage
Anchored-R25-Sentinel,0.05,0.000721548479271,0.0004872688580745,0.0009275340362716,0.0007441625488533,-2.2614069582300002e-05,202,screen
Anchored-R25-Sentinel,0.1,0.0008291756498946,0.0006153652132374,0.0010463234507578,0.0008399912269922,-1.0815577097600024e-05,202,screen
Anchored-R25-Sentinel,0.15,0.0008940167134412,0.0006581099760973,0.0011325022718393,0.0008925350608858,1.4816525554000237e-06,202,screen
Anchored-R25-Sentinel,0.2,0.0009025151351261,0.0006658065122357,0.0011227749331317,0.0009184905134323,-1.5975378306200055e-05,202,screen
Anchored-R25-Sentinel,0.25,0.0009223735887309,0.0006932119382212,0.0011422443712909,0.0009625755286261,-4.02019398952001e-05,202,screen
Anchored-R25-Sentinel,0.3,0.0009253840787505,0.0006978814658451,0.0011547265726447,0.0009596851438702,-3.430106511970003e-05,202,screen
Anchored-Pattern-R,0.01,0.0004151430604679,0.0002552132045737,0.0006237867621012,0.0003718710522526,4.3272008215299983e-05,202,screen
Anchored-Pattern-R,0.02,0.0005776782289968,0.0003662125386903,0.0008132528668084,0.000541527251967,3.615097702980004e-05,202,screen
Anchored-Pattern-R,0.05,0.0007786326149092,0.0005480924512895,0.0009971944311596,0.0007441625488533,3.4470066055899994e-05,202,screen
Anchored-Pattern-R,0.1,0.0008923613898928,0.0006608119903293,0.001120163407295,0.0008399912269922,5.237016290059995e-05,202,screen
Anchored-Pattern-R,0.15,0.000893979737993,0.0006655995513113,0.0011136098260273,0.0008925350608858,1.4446771072000293e-06,202,screen
Anchored-Pattern-R,0.2,0.0009166142535255,0.0006642167557812,0.0011451968554828,0.0009184905134323,-1.8762599068000143e-06,202,screen
Anchored-Pattern-R,0.25,0.0009214030427766,0.0006820794350066,0.0011389134265299,0.0009625755286261,-4.117248584950008e-05,202,screen
Anchored-Pattern-R,0.3,0.0009496630618754,0.0007198263397376,0.0011701737999833,0.0009596851438702,-1.0022081994799995e-05,202,screen
DINA-CATE-Sentinel,0.01,0.0004116087478708,0.0002631049452627,0.0005972001722222,0.0003718710522526,3.973769561820001e-05,202,screen
DINA-CATE-Sentinel,0.02,0.0005967062536916,0.0004507491874155,0.0007760425310154,0.000541527251967,5.517900172459999e-05,202,screen
DINA-CATE-Sentinel,0.05,0.0006894043428798,0.0004810916471112,0.000873459248787,0.0007441625488533,-5.4758205973499995e-05,202,screen
DINA-CATE-Sentinel,0.1,0.0008165644789918,0.0005847871988331,0.0010316696773765,0.0008399912269922,-2.342674800040001e-05,202,screen
DINA-CATE-Sentinel,0.15,0.0008765052392716,0.0006450428575965,0.0010849658188283,0.0008925350608858,-1.602982161419994e-05,202,screen
DINA-CATE-Sentinel,0.2,0.0008985403607641,0.0006900736046645,0.0011000266188474,0.0009184905134323,-1.9950152668200046e-05,202,screen
DINA-CATE-Sentinel,0.25,0.0009324472370616,0.0007258858961299,0.0011435363530335,0.0009625755286261,-3.0128291564500008e-05,202,screen
