model,decile,target_fraction,n_decile,mean_score_decile,decile_n_treatment,decile_n_control,decile_conversion_treatment,decile_conversion_control,decile_observed_uplift_rate,decile_uplift_ci_low,decile_uplift_ci_high,n_targeted_cumulative,mean_score_cumulative,cumulative_n_treatment,cumulative_n_control,cumulative_conversion_treatment,cumulative_conversion_control,cumulative_observed_uplift_rate,cumulative_uplift_ci_low,cumulative_uplift_ci_high,estimated_incremental_conversions_cumulative,incremental_conversions_ci_low,incremental_conversions_ci_high,share_of_full_incremental_estimate
S-Learner,1,0.1,209694,0.007212484642894103,180792,28902,0.026328598610557988,0.018026434156805757,0.008302164453752231,0.006599940114505019,0.010004388792999443,209694,0.007212484642894103,180792,28902,0.026328598610557988,0.018026434156805757,0.008302164453752231,0.006599940114505019,0.010004388792999443,1740.9140729651203,1383.9678423710154,2097.8603035592255,0.7217250668283299
S-Learner,2,0.2,209694,0.0005252469180168229,178603,31091,0.0018532723414500317,0.0013187095944163906,0.000534562747033641,8.454811408304265e-05,0.0009845773799842393,419388,0.0038688657804554624,359395,59993,0.014165472530224404,0.00936775957195006,0.004797712958274344,0.003935443853000392,0.005659982063548297,2012.1032421447608,1650.4779266221283,2373.728557667393,0.8341510758363095
S-Learner,3,0.3,209694,0.00026010634638777585,177800,31894,0.0005624296962879641,0.0004076001755816141,0.00015482952070634994,-9.259765416040877e-05,0.00040225669557310864,629082,0.0026659459690995665,537195,91887,0.00966315769878722,0.0062576860709349525,0.003405471627852267,0.00283239308174771,0.003978550173956824,2142.32090259256,1781.807504652013,2502.8343005331067,0.8881349864430219
S-Learner,4,0.4,209694,0.00014889498131947937,177664,32030,0.00048405979827089335,0.0004058694973462379,7.819030092465543e-05,-0.00016495763685126828,0.00032133823870057916,838776,0.0020366832221545453,714859,123917,0.007381875306878699,0.004745111647312314,0.0026367636595663853,0.002205737120529499,0.0030677901986032718,2211.6540753164545,1850.119359009251,2573.188791623658,0.9168782136330612
S-Learner,5,0.5,209694,0.00011510453690670315,177519,32175,0.00025349399219238504,0.00012432012432012432,0.00012917386787226072,-1.3395261630749891e-05,0.0002717429973752713,1048470,0.0016523674851049767,892378,156092,0.005963840435331216,0.0037926351126258873,0.002171205322705329,0.0018269559208586032,0.0025154547245520545,2276.443644696856,1915.5084743426198,2637.3788150510927,0.9437378140102396
S-Learner,6,0.6,209694,9.601122355786735e-05,177723,31971,0.00016880201211998447,9.38350380031904e-05,7.496697411679408e-05,-4.7189513311923835e-05,0.000197123461545512,1258164,0.0013929747748471248,1070101,188063,0.0050013970643892494,0.00316383339625551,0.0018375636681337393,0.0015507035974874897,0.002124423738779989,2311.956454953818,1951.03944102925,2672.873468878386,0.958460243884285
S-Learner,7,0.7,209694,8.33306830086031e-05,177944,31750,8.429618306883064e-05,3.1496062992125985e-05,5.280012007670465e-05,-2.2236244728809045e-05,0.00012783648488221835,1467858,0.001205882761727336,1248045,219813,0.004300325709409516,0.002711395595346954,0.001588930114062562,0.0013430895615348395,0.0018347706665902846,2332.323779367644,1971.4647576154064,2693.182801119882,0.9669038591103061
S-Learner,8,0.8,209694,8.33306830086031e-05,177928,31766,7.868351243199497e-05,6.296039790971479e-05,1.572311452228018e-05,-8.077712967758184e-05,0.0001122233587221422,1677552,0.0010655637518874946,1425973,251579,0.003773563735077733,0.00237698695042114,0.0013965767846565928,0.0011813143822154077,0.001611839187097778,2342.8301782542367,1981.7163045142215,2703.9440519942514,0.9712594626155591
S-Learner,9,0.9,209694,8.33306830086031e-05,178125,31569,2.8070175438596492e-05,0.0,2.8070175438596492e-05,3.4659271635991086e-06,5.267442371359388e-05,1887246,0.0009564267442342844,1604098,283148,0.003357650218378179,0.0021119697119527598,0.0012456805064254193,0.00105434917636156,0.0014370118364892786,2350.9055530293467,1989.8162656916484,2711.994840367045,0.9746072443870646
S-Learner,10,1.0,209694,2.3047213314245555e-05,178301,31393,0.0006786277138097935,0.00038225082024655177,0.00029637689356324173,4.86469328161318e-05,0.0005441068543103517,2096940,0.0008630887911422805,1782399,314541,0.0030896561319884042,0.0019393338229356427,0.0011503223090527615,0.0009763154533005904,0.0013243291648049327,2412.156862745098,2047.27492664414,2777.0387988460557,1.0
